id,smash_count,pass_count,total_votes,smash_pct
747,89765,417113,506878,17.71
748,85477,421193,506670,16.87
749,48984,457495,506479,9.67
750,103630,402614,506244,20.47
751,36710,469274,505984,7.26
752,50446,455355,505801,9.97
753,58827,446753,505580,11.64
754,315030,190461,505491,62.32
755,44951,460175,505126,8.9
756,73743,431186,504929,14.6
757,76923,427774,504697,15.24
758,309679,194911,504590,61.37
759,54734,449436,504170,10.86
760,112953,391022,503975,22.41
761,47312,456435,503747,9.39
762,162071,341528,503599,32.18
763,365843,137623,503466,72.66
764,56556,446580,503136,11.24
765,46403,456494,502897,9.23
766,71205,431401,502606,14.17
767,34240,468182,502422,6.81
768,101342,400875,502217,20.18
769,40532,461477,502009,8.07
770,49527,452328,501855,9.87
771,53116,448581,501697,10.59
772,81137,420406,501543,16.18
773,112308,389039,501347,22.4
774,37613,463561,501174,7.5
775,46006,455052,501058,9.18
776,52897,447926,500823,10.56
777,51146,449579,500725,10.21
778,129201,371381,500582,25.81
779,46917,453482,500399,9.38
780,67774,432466,500240,13.55
781,44251,455834,500085,8.85
782,53378,446543,499921,10.68
783,91353,408447,499800,18.28
784,153221,346459,499680,30.66
785,97807,401743,499550,19.58
786,246337,253126,499463,49.32
787,75697,423588,499285,15.16
788,262369,236784,499153,52.56
789,65193,433731,498924,13.07
790,57805,441014,498819,11.59
791,161122,337603,498725,32.31
792,243766,254835,498601,48.89
793,150321,348162,498483,30.16
794,122296,376018,498314,24.54
795,312754,185424,498178,62.78
796,99418,398543,497961,19.97
797,115721,382086,497807,23.25
798,90822,406811,497633,18.25
799,75624,421884,497508,15.2
800,103966,393366,497332,20.9
801,210239,286966,497205,42.28
802,93254,403737,496991,18.76
803,79560,417269,496829,16.01
804,113888,382783,496671,22.93
805,48430,448119,496549,9.75
806,84146,412293,496439,16.95
807,232977,263375,496352,46.94
808,44873,451259,496132,9.04
809,81423,414591,496014,16.42
810,43115,452354,495469,8.7
811,44749,450521,495270,9.04
812,107257,387892,495149,21.66
813,84246,410752,494998,17.02
814,115159,379747,494906,23.27
815,309451,185398,494849,62.53
816,49646,444951,494597,10.04
817,56288,438196,494484,11.38
818,174772,319649,494421,35.35
819,41617,452595,494212,8.42
820,51249,442765,494014,10.37
821,36254,457555,493809,7.34
822,55617,438068,493685,11.27
823,115312,378256,493568,23.36
824,32242,461160,493402,6.53
825,32141,461096,493237,6.52
826,46154,446991,493145,9.36
827,102438,390615,493053,20.78
828,179095,313860,492955,36.33
829,66357,426456,492813,13.46
830,83230,409449,492679,16.89
831,75394,417166,492560,15.31
832,74145,418331,492476,15.06
833,33163,459219,492382,6.74
834,45763,446509,492272,9.3
835,54136,438019,492155,11.0
836,98794,393285,492079,20.08
837,32061,459876,491937,6.52
838,33933,457907,491840,6.9
839,49939,441791,491730,10.16
840,46358,445264,491622,9.43
841,59977,431580,491557,12.2
842,74685,416767,491452,15.2
843,44444,446884,491328,9.05
844,67798,423467,491265,13.8
845,46851,444315,491166,9.54
846,35156,455872,491028,7.16
847,37958,452978,490936,7.73
848,46404,444487,490891,9.45
849,158462,332326,490788,32.29
850,41394,449221,490615,8.44
851,64861,425648,490509,13.22
852,43913,446512,490425,8.95
853,79331,411007,490338,16.18
854,48969,441266,490235,9.99
855,62094,428044,490138,12.67
856,60970,429104,490074,12.44
857,132002,358009,490011,26.94
858,335245,154728,489973,68.42
859,39647,450136,489783,8.09
860,66748,422950,489698,13.63
861,94827,394801,489628,19.37
862,138085,351464,489549,28.21
863,49368,440024,489392,10.09
864,63937,425356,489293,13.07
865,73704,415513,489217,15.07
866,48436,440688,489124,9.9
867,60092,428932,489024,12.29
868,59983,428919,488902,12.27
869,216851,272008,488859,44.36
870,48136,440604,488740,9.85
871,35819,452807,488626,7.33
872,55343,433225,488568,11.33
873,107262,381192,488454,21.96
874,36719,451645,488364,7.52
875,43650,444646,488296,8.94
876,150746,337460,488206,30.88
877,58435,429654,488089,11.97
878,40010,447955,487965,8.2
879,51646,436237,487883,10.59
880,79378,408409,487787,16.27
881,56741,430963,487704,11.63
882,53086,434522,487608,10.89
883,46100,441433,487533,9.46
884,68714,418745,487459,14.1
885,48646,438755,487401,9.98
886,78139,409216,487355,16.03
887,150923,336382,487305,30.97
888,180103,307107,487210,36.97
889,169777,317341,487118,34.85
890,108256,378803,487059,22.23
891,52574,434415,486989,10.8
892,143312,343599,486911,29.43
893,83152,403671,486823,17.08
894,55581,431187,486768,11.42
895,61072,425636,486708,12.55
896,100050,386593,486643,20.56
897,149427,337119,486546,30.71
898,78977,397334,476311,16.58
899,28162,149275,177437,15.87
900,20961,156149,177110,11.84
901,27249,149695,176944,15.4
902,16977,159888,176865,9.6
903,76756,100024,176780,43.42
904,13789,162908,176697,7.8
905,51594,125044,176638,29.21
906,36221,140290,176511,20.52
907,66810,109663,176473,37.86
